Item #	Diameter	Focal Length	Radius of Curvature	Center Thickness	Edge Thickness	Back Focal Length	Rotation_deg
LA4464	50.8	60.2	27.6	19.8	3.0	46.6	0
LA4078	50.8	75.3	34.4	14.2	3.0	65.6	0
LA4545	50.8	100.0	46.0	10.7	3.0	93.0	0
LA4464R	50.8	60.2	27.6	19.8	3.0	46.6	180
LA4078R	50.8	75.3	34.4	14.2	3.0	65.6	180
LA4545R	50.8	100.0	46.0	10.7	3.0	93.0	180
